username,user_id,tweet
Abdullah Ardhi,@AbdullahArdhi,"Kolaborasi IKN dan ACWA Power sinergi untuk kehidupan hijau

tag
|| Indonesia vs Guinea Mahasiswa 20.00 WIB PRAY FOR RAFAH Bali Charlotte Ajarin Wonbin Gege Harry Kane Jilat Vina #ZhaoLusi ||
0:28
1
1"
Hyeji,@bewithyiu,"Uang pajak kita seharusnya bisa dialokasikan untuk sesuatu yang lebih berguna, malah dibuat bangun patung patung dan IKN demi coli ego dan pride para pejabrut
Bukan Agen Air Minum
@shallypristine
·"
wientaka,@wientaxa,"Replying to 
@tanyarlfes
Ikn itu cuma sekedar perwujudan ambisi politik dan nafsu mengeruk uang negara drnpara pejabat kita. Urgensi buat kemajuan negara ga ada sama sekali. Efeknya buat rakyat kecil apa, selain sebatas bhw para tukang bangunan dapat kerja. Stlhnya, saya yakin pejabat kita aja nikMATI."
rikai kanojo,@wibungitis,"They're building IKN like township 
kumparan
@kumparan
·
May 8
Pak Bas memastikan ada patung Soekarno-Hatta dan api abadi di memorial park IKN, dengan anggaran Rp 335 miliar. #bisnis #update #bisnis #text https://kumparan.com/kumparanbisnis/ada-patung-soekarno-hatta-and-api-abadi-di-memorial-park-ikn-anggaran-rp-335-m-22hLNG5yQqY?utm_source=Twitter&utm_medium=post&utm_campaign=int…"
Olivia Alessandra,@avocado_juice41,"Replying to 
@tanyarlfes
IKN ini menelan biaya yg sangat fantastis. Udah gitu belum terlalu urgent. Klo mau pindah ibu kota mungkin bisa ke kota lain yg ga perlu bangun dari 0 banget. Sayang duit, mending juga buat dipake buat yg lain. Cuma disini mah pejabat maunya dapet fasilitas mevvah"
Gus,@Baggiioooo,mmnita korut untk mngebom ikn dgn nuklirnya
Abdullah Ardhi,@AbdullahArdhi,"Kolaborasi IKN dan ACWA Power sinergi untuk kehidupan hijau

tag
|| Indonesia vs Guinea Mahasiswa 20.00 WIB PRAY FOR RAFAH Bali Charlotte Ajarin Wonbin Gege Harry Kane Jilat Vina #ZhaoLusi ||
0:27
1
1"
"
Tanyarlfes",@tanyarlfes,"Automated
tanyarl sender kepooo, mau tau pandangan mahasiswa ttg IKN ini dong. pls buzz3r p0l1t1k, dni!
1"
Norman_IKN,@sinceApril1970,"Replying to 
@Brady1892
 and 
@WeAreTheOverlap
Didn’t Brucey first spot the talent that is Joselu, playing football on the beach as a 7 year old, recommend him to Stoke for cold wet Tuesday night training, then to Newcastle, coach him then recommend him to Real Madrid?"
"
Tanyarlfes",@tanyarlfes,"Automated
tanyarl sender kepooo, mau tau pandangan mahasiswa ttg IKN ini dong. pls buzz3r p0l1t1k, dni!"
Mikaza,@sweetnaviblue,"Replying to 
@malayfisemim
Sini maen ke ikn
1"
Alemema Hasna,@almema_hasnaa,"Replying to 
@eternaciumentaa
Dukungan terhadap IKN menunjukkan bahwa masyarakat Indonesia memiliki semangat untuk mengatasi berbagai permasalahan dan menggapai cita-cita bersama"
 Effendy,@arieindienesia,"Replying to 
@ekkyij
Roma Irama - IKN, lagu
Mati di IKN Mahal (2013), film pendek"
uli,@duniauli,"Replying to 
@duniauli
 and 
@tanyakanrl
gue nungguin ini IKN dijadiin patokan wonderful indonesia sebagai ""modern city"" buat ambil perhatian para turis mancanegara wkwkwkwk. terus turis berekspetasi tinggi di kota selain IKN dan viral lagi klo 'gasemua wilayah di Indonesia itu bagus'. capek"
Norman_IKN,@sinceApril1970,"Replying to 
@cyp_toon
You only grabbed one bag"
donatur mekdi,@papamekdi,"Replying to 
@Pai_C1
generasi kita nih yg bakal bangun IKN "
fakmeennn,@yomoneasu,"Replying to 
@tanyarlfes
Ga penting banget buru buru bangun IKN. Tau kan output dari pengerjaaan yang terburu-buru? Betul. Suatu saat bakal mangkrak aja project nya. Bukan doain, tapi biasanya begitu ~
6"
Snnvd,@deviannisaa,"yang menikmati IKN siapa, yang nanggungnya semua rakyat. masih ga paham kenapa IKN itu harus dilanjutkan.. 
kumparan
@kumparan
·
May 8
Pak Bas memastikan ada patung Soekarno-Hatta dan api abadi di memorial park IKN, dengan anggaran Rp 335 miliar. #bisnis #update #bisnis #text https://kumparan.com/kumparanbisnis/ada-patung-soekarno-hatta-and-api-abadi-di-memorial-park-ikn-anggaran-rp-335-m-22hLNG5yQqY?utm_source=Twitter&utm_medium=post&utm_campaign=int…"
dunia_gemoy,@duniagemoy,"Replying to 
@tanyarlfes
Dari pada ikn lebih setuju akses krl dan kereta api diperbanyak mau itu disumatra jawa dan lain2."
uli,@duniauli,"Replying to 
@tanyakanrl
iya orang miskinnya di kota selain IKN
1"
Norman_IKN,@sinceApril1970,"Replying to 
@CharIieBennett
Can’t he be eligible for both
1"
aguilina,@pillowaguilina,"Replying to 
@pillowaguilina
 and 
@tanyarlfes
Daripada ikn, mending uangnya buat ptn yg lagi naikin utk dan buat nambah dana riset(biar gk jadi indonesia cemas)
Serius nanya, ukt naik itu uangnya buat apa yaa? Perasaan gaji dosen gk ada wacana naik, fasilitas sama,
Apa buat nutupin biaya yg gk pakai dana pemerintah?"
 lagi ngedraft,@amatchalattie,"Takut anjay ada qrt ghaib, should i delete my rep ttg ikn itu  INI BARU BERAPA MENIT UDAH DI QRT GHAIB AJA TAKOTTT 

Maap maap deh kalo ada yang tersinggung "
